sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Frequencies,112,,,,,,
Frequencies,113,,,,,,
Frequencies,114,,,,,,
Frequencies,115,,,,,,
Frequencies,116,,,,,,
Frequencies,117,,,,,,
Frequencies,118,,,,,,
Frequencies,119,,,,,,
Frequencies,120,,,,,,
Frequencies,121,,,,,,
Frequencies,122,,,,,,
Frequencies,123,,,,,,
Frequencies,124,,,,,,
Frequencies,125,,,,,,
Frequencies,126,,,,,,
Frequencies,127,,,,,,
Frequencies,128,,,,,,
Frequencies,129,,,,,,
Frequencies,130,,,,,,
Frequencies,131,,,,,,
Frequencies,132,,,,,,
Frequencies,133,,,,,,
Frequencies,134,,,,,,
Frequencies,135,,,,,,
Frequencies,136,,,,,,
Frequencies,137,,,,,,
Frequencies,138,,,,,,
Frequencies,139,,,,,,
Frequencies,140,,,,,,
Frequencies,141,,,,,,
Frequencies,142,,,,,,
Frequencies,143,,,,,,
Frequencies,144,,,,,,
Frequencies,145,,,,,,
Frequencies,146,,,,,,
Frequencies,147,,,,,,
Frequencies,148,,,,,,
Frequencies,149,,,,,,
Frequencies,150,,,,,,
Frequencies,151,,,,,,
Frequencies,152,,,,,,
Frequencies,153,,,,,,
Frequencies,154,,,,,,
Frequencies,155,,,,,,
Frequencies,156,,,,,,
Frequencies,157,,,,,,
Frequencies,158,,,,,,
Frequencies,159,,,,,,
Frequencies,160,,,,,,
Frequencies,161,,,,,,
Frequencies,162,,,,,,
Frequencies,163,,,,,,
Frequencies,164,,,,,,
Frequencies,165,,,,,,
Frequencies,166,,,,,,
Frequencies,167,,,,,,
Frequencies,168,,,,,,
Frequencies,169,,,,,,
Frequencies,170,,,,,,
Frequencies,171,,,,,,
Frequencies,172,,,,,,
Frequencies,173,,,,,,
Frequencies,174,,,,,,
Frequencies,175,,,,,,
Frequencies,176,,,,,,
Frequencies,177,,,,,,
Frequencies,178,,,,,,
Frequencies,179,,,,,,
Frequencies,180,,,,,,
Frequencies,181,,,,,,
Frequencies,182,,,,,,
Frequencies,183,,,,,,
Frequencies,184,,,,,,
Frequencies,185,,,,,,
Frequencies,186,,,,,,
Frequencies,187,,,,,,
Frequencies,188,,,,,,
Frequencies,189,,,,,,
Frequencies,190,,,,,,
Frequencies,191,,,,,,
Frequencies,192,,,,,,
Frequencies,193,,,,,,
Frequencies,194,,,,,,
Frequencies,195,,,,,,
Frequencies,196,,,,,,
Frequencies,197,,,,,,
Frequencies,198,,,,,,
Frequencies,199,,,,,,
Frequencies,200,,,,,,
Frequencies,201,,,,,,
Frequencies,202,,,,,,
Frequencies,203,,,,,,
Frequencies,204,,,,,,
