sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File Documentation for the Institutional Characteristics Data File, 2023-24",,,,,,,,,
Introduction,1,Student Charges for Full Academic Year ,,,,,,,,,
Introduction,2,(Provisional/Final release),,,,,,,,,
Introduction,3,,,,,,,,,,
Introduction,4,Filename,IC2023_AY
Introduction,5,Overview,"This file contains data on student charges for a full academic year.  Institutions that offer primarily academic programs measured in credit hours have a predominant calendar system of semester, quarter, trimester, or 4-1-4 or other academic calendar system report student charges for the full academic year.  Student charges on this data file include: average tuition and required fees for both full-time undergraduate and graduate students; per credit hour charges for both part-time undergraduate and graduate students;  Typical tuition and required fees for a full-time Doctor's - professional practice student in Chiropractic (D.C. or D.C.M.), Dentistry (D.D.S. or D.M.D.), Law (L.L.B. or J.D.), Medicine (M.D.), Optometry (O.D.), Osteopathic Medicine (D.O), Pharmacy (Pharm.D.), Podiatry (D.P.M., Pod.D., D.P.), or, Veterinary Medicine (D.V.M.), and Law (J.D.).
The price of attendance of full-time first-time undergraduates that are made available to the public on College Navigator is included on this file.  Price of attendance includes amounts for published tuition and required fees, books and supplies, room and board and other expenses.  Estimates for books and supplies, room and board and other expenses are those from the Cost of Attendance report used by the financial aid office in determining financial need.",,,,,,,,
Introduction,6,Note,"IPEDS data, including provisional release data and final release data, adhere to rigorous quality control procedures established by NCES. Data are imputed for nonresponding institutions. Provisional release data are used for First Look  web tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. While the final release data offer  the most up to date data, these data may not match tables from the First Look web tables based on provisional release data.  Unlike for all other IPEDS data, the revision process for the cost of attendance data occurs in the current (rather than subsequent) data collection year as institutions report 4 years of cost of attendance data. As such, each year’s cost of attendance data release is considered both provisional and final.  ",,,,,,,,
Introduction,7,Contents of spreadsheet,,,,,,,,,
Introduction,8,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,9,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,10,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. ",,,,,,,,
Introduction,11,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,87,11972,CHG3AT1,N,5,Cont,Xchg3at1,Published out-of-state tuition 2021-22
varlist,88,11973,CHG3AF1,N,5,Cont,Xchg3af1,Published out-of-state fees 2021-22
varlist,89,11971,CHG3AY1,N,5,Cont,Xchg3ay1,Published out-of-state tuition and fees 2021-22
varlist,90,11977,CHG3AT2,N,5,Cont,Xchg3at2,Published out-of-state tuition 2022-23
varlist,91,11978,CHG3AF2,N,5,Cont,Xchg3af2,Published out-of-state fees 2022-23
varlist,92,11976,CHG3AY2,N,5,Cont,Xchg3ay2,Published out-of-state tuition and fees 2022-23
varlist,93,11982,CHG3AT3,N,5,Cont,Xchg3at3,Published out-of-state tuition 2023-24
varlist,94,11983,CHG3AF3,N,5,Cont,xchg3af3,Published out-of-state fees 2023-24
varlist,95,11981,CHG3AY3,N,5,Cont,Xchg3ay3,Published out-of-state tuition and fees 2023-24
varlist,96,15298,CHG3TGTD,N,3,Cont,,Published out-of-state tuition 2023-24 guaranteed percent increase (if applicable)
varlist,97,15299,CHG3FGTD,N,3,Cont,,Published out-of-state fees 2023-24 guaranteed percent increase (if applicable)
varlist,98,11985,CHG4AY0,N,5,Cont,Xchg4ay0,Books and supplies 2020-21
varlist,99,11986,CHG4AY1,N,5,Cont,Xchg4ay1,Books and supplies 2021-22
varlist,100,11991,CHG4AY2,N,5,Cont,Xchg4ay2,Books and supplies 2022-23
varlist,101,11996,CHG4AY3,N,5,Cont,Xchg4ay3,Books and supplies 2023-24
varlist,102,12000,CHG5AY0,N,5,Cont,Xchg5ay0,"On campus, food and housing 2020-21"
varlist,103,12001,CHG5AY1,N,5,Cont,Xchg5ay1,"On campus, food and housing 2021-22"
varlist,104,12006,CHG5AY2,N,5,Cont,Xchg5ay2,"On campus, food and housing 2022-23"
varlist,105,12011,CHG5AY3,N,5,Cont,Xchg5ay3,"On campus, food and housing 2023-24"
varlist,106,12015,CHG6AY0,N,5,Cont,Xchg6ay0,"On campus, other expenses 2020-21"
varlist,107,12016,CHG6AY1,N,5,Cont,Xchg6ay1,"On campus, other expenses 2021-22"
varlist,108,12021,CHG6AY2,N,5,Cont,Xchg6ay2,"On campus, other expenses 2022-23"
varlist,109,12026,CHG6AY3,N,5,Cont,Xchg6ay3,"On campus, other expenses 2023-24"
varlist,110,12030,CHG7AY0,N,5,Cont,Xchg7ay0,"Off campus (not with family), food and housing 2020-21"
varlist,111,12031,CHG7AY1,N,5,Cont,Xchg7ay1,"Off campus (not with family), food and housing 2021-22"
varlist,112,12036,CHG7AY2,N,5,Cont,Xchg7ay2,"Off campus (not with family), food and housing 2022-23"
varlist,113,12041,CHG7AY3,N,5,Cont,Xchg7ay3,"Off campus (not with family), food and housing 2023-24"
