year,UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT75,ACTMT75 ,ADMCON10,ADMCON11,ADMCON12,XAPPLCNAN,APPLCNAN,XAPPLCNUN,APPLCNUN,XADMSSNAN,ADMSSNAN,XADMSSNUN,ADMSSNUN,XENRLAN,ENRLAN,XENRLUN,ENRLUN,XENRLFTAN,ENRLFTAN,XENRLFTUN,ENRLFTUN,XENRLPTAN,ENRLPTAN,XENRLPTUN,ENRLPTUN,XSATVR50,SATVR50,XSATMT50,SATMT50,XACTCM50,ACTCM50,XACTEN50,ACTEN50,XACTMT50,ACTMT50,ACTMT75   
2019,152080,2,2,1,2,1,3,1,2,3,R,22200,R,11194,R,11006,R,3515,R,1827,R,1688,R,2051,R,1061,R,990,R,2051,R,1061,R,990,A,,A,,A,,R,859,R,42,R,1192,R,58,R,680,R,760,R,720,R,790,R,32,R,35,A,,A,,A,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,160755,1,2,1,2,1,2,1,1,3,R,42185,R,15648,R,26537,R,5431,R,1999,R,3432,R,1821,R,721,R,1100,R,1821,R,721,R,1100,A,,A,,A,,R,480,R,26,R,1320,R,72,R,660,R,750,R,700,R,770,R,31,R,33,R,32,R,35,R,27,R,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,162928,1,3,1,2,1,3,1,1,3,R,31139,R,14413,R,16726,R,3477,R,1603,R,1874,R,1475,R,706,R,769,R,1475,R,706,R,769,A,,A,,A,,R,920,R,62,R,533,R,36,R,710,R,760,R,750,R,800,R,33,R,35,R,34,R,36,R,30,R,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,163286,1,2,1,2,2,3,1,1,3,R,33012,R,16027,R,16985,R,14585,R,6801,R,7784,R,4279,R,2074,R,2205,R,4277,R,2074,R,2203,R,2,R,0,R,2,R,3264,R,76,R,1022,R,24,R,630,R,710,R,650,R,760,R,29,R,34,R,30,R,35,R,27,R,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,164924,1,2,1,1,1,2,1,1,2,R,35552,R,15183,R,20369,R,9679,R,5294,R,4385,R,2297,R,1078,R,1219,R,2297,R,1078,R,1219,A,,A,,A,,R,1532,R,67,R,951,R,41,R,660,R,730,R,680,R,770,R,31,R,34,R,33,R,35,R,28,R,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,164988,1,1,1,1,1,3,1,1,3,R,62224,R,25671,R,36553,R,11786,R,4910,R,6876,R,3156,R,1306,R,1850,R,3156,R,1306,R,1850,R,0,R,0,R,0,R,2313,R,73,R,1024,R,32,R,650,R,720,R,690,R,790,R,30,R,34,R,31,R,35,R,27,R,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,165015,2,2,1,1,1,3,1,1,3,R,11343,R,4666,R,6677,R,3391,R,1261,R,2130,R,863,R,340,R,523,R,863,R,340,R,523,A,,A,,A,,R,549,R,64,R,219,R,25,R,660,R,730,R,690,R,790,R,30,R,33,R,32,R,35,R,27,R,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,166027,2,2,1,3,1,3,1,3,3,R,43330,R,21730,R,21600,R,2009,R,1009,R,1000,R,1649,R,833,R,816,R,1649,R,833,R,816,A,,A,,A,,R,1172,R,71,R,743,R,45,R,710,R,770,R,750,R,800,R,33,R,35,R,34,R,36,R,31,R,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,166629,1,2,1,1,1,2,1,1,3,R,42157,R,20091,R,22066,R,26895,R,12390,R,14505,R,5766,R,2874,R,2892,R,5731,R,2860,R,2871,R,35,R,14,R,21,R,5141,R,89,R,1052,R,18,R,590,R,680,R,600,R,710,R,26,R,32,R,25,R,33,R,25,R,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,166683,2,3,1,2,1,3,1,2,3,R,21312,R,14522,R,6790,R,1427,R,703,R,724,R,1102,R,580,R,522,R,1102,R,580,R,522,A,,A,,A,,R,845,R,77,R,493,R,45,R,730,R,770,R,780,R,800,R,34,R,36,R,35,R,36,R,34,R,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
