year,UNITID,EFBAGE,LINE,LSTUDY,XEFAGE01,EFAGE01,XEFAGE02,EFAGE02,XEFAGE03,EFAGE03,XEFAGE04,EFAGE04,XEFAGE05,EFAGE05,XEFAGE06,EFAGE06,XEFAGE07,EFAGE07,XEFAGE08,EFAGE08,XEFAGE09,EFAGE09 
2022,110671, 7,999,1,R,1935,R,1691,R,253,R,183,R,3626,R,436,R,2188,R,1874,R,4062
2022,110671, 7,999,2,R,623,R,559,R,106,R,73,R,1182,R,179,R,729,R,632,R,1361
2022,110671, 7,999,5,R,1312,R,1132,R,147,R,110,R,2444,R,257,R,1459,R,1242,R,2701
2022,110671, 8,  5,1,R,1321,R,1075,R,130,R,92,R,2396,R,222,R,1451,R,1167,R,2618
2022,110671, 8,  5,2,R,448,R,336,R,70,R,48,R,784,R,118,R,518,R,384,R,902
2022,110671, 8,  5,5,R,873,R,739,R,60,R,44,R,1612,R,104,R,933,R,783,R,1716
2022,110671, 9,  6,1,R,402,R,374,R,56,R,34,R,776,R,90,R,458,R,408,R,866
2022,110671, 9,  6,2,R,107,R,114,R,25,R,15,R,221,R,40,R,132,R,129,R,261
2022,110671, 9,  6,5,R,295,R,260,R,31,R,19,R,555,R,50,R,326,R,279,R,605
2022,110671,10,  7,1,R,128,R,122,R,29,R,22,R,250,R,51,R,157,R,144,R,301
2022,110671,10,  7,2,R,37,R,53,R,7,R,6,R,90,R,13,R,44,R,59,R,103
2022,110671,10,  7,5,R,91,R,69,R,22,R,16,R,160,R,38,R,113,R,85,R,198
2022,110671,11,  8,1,R,67,R,92,R,21,R,22,R,159,R,43,R,88,R,114,R,202
2022,110671,11,  8,2,R,23,R,39,R,3,R,3,R,62,R,6,R,26,R,42,R,68
2022,110671,11,  8,5,R,44,R,53,R,18,R,19,R,97,R,37,R,62,R,72,R,134
2022,110671,12,  9,1,R,17,R,24,R,17,R,10,R,41,R,27,R,34,R,34,R,68
2022,110671,12,  9,2,R,8,R,16,R,1,R,1,R,24,R,2,R,9,R,17,R,26
2022,110671,12,  9,5,R,9,R,8,R,16,R,9,R,17,R,25,R,25,R,17,R,42
