year,UNITID,STAFFCAT,FTPT,OCCUPCAT,SABDTYPE,XHRTOTLT,HRTOTLT,XHRTOTLM,HRTOTLM,XHRTOTLW,HRTOTLW,XHRAIANT,HRAIANT,XHRAIANM,HRAIANM,XHRAIANW,HRAIANW,XHRASIAT,HRASIAT,XHRASIAM,HRASIAM,XHRASIAW,HRASIAW,XHRBKAAT,HRBKAAT,XHRBKAAM,HRBKAAM,XHRBKAAW,HRBKAAW,XHRHISPT,HRHISPT,XHRHISPM,HRHISPM,XHRHISPW,HRHISPW,XHRNHPIT,HRNHPIT,XHRNHPIM,HRNHPIM,XHRNHPIW,HRNHPIW,XHRWHITT,HRWHITT,XHRWHITM,HRWHITM,XHRWHITW,HRWHITW,XHR2MORT,HR2MORT,XHR2MORM,HR2MORM,XHR2MORW,HR2MORW,XHRUNKNT,HRUNKNT,XHRUNKNM,HRUNKNM,XHRUNKNW,HRUNKNW,XHRNRALT,HRNRALT,XHRNRALM,HRNRALM,XHRNRALW,HRNRALW 
2023,100858,3220,3,220,-2,R,57,R,31,R,26,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,55,R,31,R,24
2023,100858,3230,3,230,-2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,100858,3250,3,250,-2,R,50,R,11,R,39,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,7,R,2,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,42,R,9,R,33,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,100858,3270,3,270,-2,R,50,R,11,R,39,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,7,R,2,R,5,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,42,R,9,R,33,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,100858,3300,3,300,-2,R,3,R,3,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,100858,3310,3,310,-2,R,244,R,132,R,112,R,1,R,1,Z,0,R,13,R,8,R,5,R,16,R,6,R,10,R,8,R,7,R,1,Z,0,Z,0,Z,0,R,195,R,105,R,90,R,1,R,1,Z,0,R,6,R,2,R,4,R,4,R,2,R,2
2023,100858,3320,3,320,-2,R,92,R,13,R,79,Z,0,Z,0,Z,0,R,1,Z,0,R,1,R,12,R,1,R,11,R,2,Z,0,R,2,Z,0,Z,0,Z,0,R,76,R,12,R,64,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,100858,3330,3,330,-2,R,30,R,11,R,19,R,1,Z,0,R,1,R,1,Z,0,R,1,R,4,R,3,R,1,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,22,R,7,R,15,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,100858,3350,3,350,-2,R,192,R,108,R,84,R,1,Z,0,R,1,R,1,R,1,Z,0,R,47,R,29,R,18,R,3,R,2,R,1,Z,0,Z,0,Z,0,R,131,R,71,R,60,R,3,R,1,R,2,R,6,R,4,R,2,Z,0,Z,0,Z,0
2023,100858,3360,3,360,-2,R,2,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,100858,3370,3,370,-2,R,220,R,35,R,185,Z,0,Z,0,Z,0,R,6,R,2,R,4,R,40,R,3,R,37,R,11,R,2,R,9,Z,0,Z,0,Z,0,R,152,R,28,R,124,R,6,Z,0,R,6,R,3,Z,0,R,3,R,2,Z,0,R,2
2023,100858,3380,3,380,-2,R,147,R,81,R,66,Z,0,Z,0,Z,0,R,3,R,1,R,2,R,22,R,10,R,12,R,9,R,3,R,6,Z,0,Z,0,Z,0,R,103,R,59,R,44,R,2,R,2,Z,0,R,3,R,2,R,1,R,5,R,4,R,1
2023,100858,3390,3,390,-2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,100858,4400,4,400,-2,R,2380,R,1237,R,1143,R,1,Z,0,R,1,R,57,R,26,R,31,R,111,R,48,R,63,R,87,R,41,R,46,R,1,Z,0,R,1,R,1010,R,459,R,551,R,38,R,16,R,22,R,58,R,32,R,26,R,1017,R,615,R,402
2023,100858,4410,4,410,-2,R,812,R,425,R,387,Z,0,Z,0,Z,0,R,22,R,12,R,10,R,49,R,20,R,29,R,44,R,21,R,23,Z,0,Z,0,Z,0,R,323,R,157,R,166,R,14,R,6,R,8,R,28,R,17,R,11,R,332,R,192,R,140
2023,100858,4420,4,420,-2,R,1223,R,690,R,533,Z,0,Z,0,Z,0,R,26,R,13,R,13,R,40,R,18,R,22,R,35,R,16,R,19,R,1,Z,0,R,1,R,479,R,242,R,237,R,16,R,7,R,9,R,22,R,10,R,12,R,604,R,384,R,220
2023,100858,4490,4,490,-2,R,345,R,122,R,223,R,1,Z,0,R,1,R,9,R,1,R,8,R,22,R,10,R,12,R,8,R,4,R,4,Z,0,Z,0,Z,0,R,208,R,60,R,148,R,8,R,3,R,5,R,8,R,5,R,3,R,81,R,39,R,42
2023,110404,1100,1,100,-2,R,3295,R,1865,R,1430,R,8,R,3,R,5,R,484,R,212,R,272,R,99,R,53,R,46,R,680,R,347,R,333,R,4,R,2,R,2,R,1410,R,835,R,575,R,47,R,18,R,29,R,52,R,29,R,23,R,511,R,366,R,145
2023,110404,1200,1,200,-2,R,954,R,686,R,268,R,0,R,0,R,0,R,98,R,60,R,38,R,9,R,5,R,4,R,32,R,26,R,6,R,0,R,0,R,0,R,418,R,304,R,114,R,12,R,9,R,3,R,5,R,4,R,1,R,380,R,278,R,102
2023,110404,1210,1,210,-2,R,365,R,261,R,104,R,0,R,0,R,0,R,54,R,34,R,20,R,4,R,3,R,1,R,13,R,12,R,1,R,0,R,0,R,0,R,275,R,201,R,74,R,3,R,2,R,1,R,0,R,0,R,0,R,16,R,9,R,7
2023,110404,1220,1,220,-2,R,589,R,425,R,164,Z,0,Z,0,Z,0,R,44,R,26,R,18,R,5,R,2,R,3,R,19,R,14,R,5,Z,0,Z,0,Z,0,R,143,R,103,R,40,R,9,R,7,R,2,R,5,R,4,R,1,R,364,R,269,R,95
2023,110404,1250,1,250,-2,R,55,R,15,R,40,Z,0,Z,0,Z,0,R,15,R,3,R,12,R,5,R,2,R,3,R,10,R,2,R,8,Z,0,Z,0,Z,0,R,22,R,7,R,15,R,3,R,1,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,110404,1260,1,260,-2,R,27,R,8,R,19,Z,0,Z,0,Z,0,R,9,R,2,R,7,R,1,R,1,Z,0,R,3,R,1,R,2,Z,0,Z,0,Z,0,R,14,R,4,R,10,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,110404,1261,1,261,-2,R,4,R,1,R,3,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,2,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,110404,1262,1,262,-2,R,11,R,4,R,7,Z,0,Z,0,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,9,R,3,R,6,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,110404,1263,1,263,-2,R,12,R,3,R,9,Z,0,Z,0,Z,0,R,7,R,1,R,6,R,1,R,1,Z,0,R,1,Z,0,R,1,Z,0,Z,0,Z,0,R,3,R,1,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,110404,1270,1,270,-2,R,28,R,7,R,21,Z,0,Z,0,Z,0,R,6,R,1,R,5,R,4,R,1,R,3,R,7,R,1,R,6,Z,0,Z,0,Z,0,R,8,R,3,R,5,R,3,R,1,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,110404,1300,1,300,-2,R,353,R,162,R,191,Z,0,Z,0,Z,0,R,47,R,23,R,24,R,20,R,11,R,9,R,71,R,33,R,38,Z,0,Z,0,Z,0,R,204,R,93,R,111,R,3,Z,0,R,3,R,3,Z,0,R,3,R,5,R,2,R,3
2023,110404,1310,1,310,-2,R,289,R,123,R,166,R,1,Z,0,R,1,R,61,R,19,R,42,R,11,R,5,R,6,R,67,R,29,R,38,Z,0,Z,0,Z,0,R,132,R,61,R,71,R,4,R,1,R,3,R,5,R,3,R,2,R,8,R,5,R,3
2023,110404,1320,1,320,-2,R,740,R,471,R,269,R,1,R,1,Z,0,R,154,R,69,R,85,R,12,R,9,R,3,R,92,R,47,R,45,R,1,Z,0,R,1,R,358,R,261,R,97,R,14,R,5,R,9,R,8,R,6,R,2,R,100,R,73,R,27
2023,110404,1330,1,330,-2,R,114,R,50,R,64,Z,0,Z,0,Z,0,R,16,R,3,R,13,R,3,R,1,R,2,R,17,R,8,R,9,Z,0,Z,0,Z,0,R,68,R,34,R,34,R,4,Z,0,R,4,R,6,R,4,R,2,Z,0,Z,0,Z,0
2023,110404,1340,1,340,-2,R,10,R,5,R,5,Z,0,Z,0,Z,0,R,3,R,1,R,2,R,1,R,1,Z,0,R,4,R,2,R,2,Z,0,Z,0,Z,0,R,2,R,1,R,1,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
2023,110404,1350,1,350,-2,R,270,R,158,R,112,R,1,R,1,Z,0,R,22,R,16,R,6,R,15,R,11,R,4,R,185,R,106,R,79,R,2,R,1,R,1,R,27,R,13,R,14,R,1,R,1,Z,0,R,8,R,5,R,3,R,9,R,4,R,5
2023,110404,1370,1,370,-2,R,369,R,59,R,310,R,4,R,1,R,3,R,62,R,12,R,50,R,18,R,3,R,15,R,130,R,23,R,107,R,1,R,1,Z,0,R,131,R,15,R,116,R,6,R,1,R,5,R,11,R,2,R,9,R,6,R,1,R,5
2023,110404,1380,1,380,-2,R,133,R,128,R,5,R,1,Z,0,R,1,R,5,R,5,Z,0,R,4,R,4,Z,0,R,66,R,65,R,1,Z,0,Z,0,Z,0,R,48,R,46,R,2,Z,0,Z,0,Z,0,R,6,R,5,R,1,R,3,R,3,Z,0
2023,110404,1390,1,390,-2,R,8,R,8,Z,0,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,1,R,1,Z,0,R,6,R,6,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0
