year,UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW ,EFNRALW,XEFGNDRUN,EFGNDRUN,XEFGNDRAN,EFGNDRAN,XEFGNDRUA,EFGNDRUA,XEFGNDRKN,EFGNDRKN  ,XEFGNDRU,XEFGNDRA,XEFGNDRK,EFGNDRKN
2019,110635, 3,99,3,1,R,31345,R,14430,R,16915,R,34,R,13,R,21,R,11137,R,5364,R,5773,R,600,R,229,R,371,R,5043,R,1918,R,3125,R,53,R,22,R,31,R,7511,R,3483,R,4028,R,1836,R,789,R,1047,R,1147,R,560,R,587,R,3984,R,2052,R,1932,,,,,,,,,,,,,
2019,110635, 4,99,3,1,R,6454,R,2896,R,3558,R,8,R,3,R,5,R,2521,R,1234,R,1287,R,103,R,34,R,69,R,1005,R,349,R,656,R,12,R,4,R,8,R,1371,R,589,R,782,R,367,R,144,R,223,R,219,R,110,R,109,R,848,R,429,R,419,,,,,,,,,,,,,
2019,110635, 5,99,3,1,R,24891,R,11534,R,13357,R,26,R,10,R,16,R,8616,R,4130,R,4486,R,497,R,195,R,302,R,4038,R,1569,R,2469,R,41,R,18,R,23,R,6140,R,2894,R,3246,R,1469,R,645,R,824,R,928,R,450,R,478,R,3136,R,1623,R,1513,,,,,,,,,,,,,
2019,110635,11,99,3,1,R,3,R,1,R,2,R,0,R,0,R,0,R,1,R,1,R,0,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,,,,,,,,,,,,,
2019,110635,12,99,3,3,R,11837,R,6360,R,5477,R,32,R,14,R,18,R,1888,R,934,R,954,R,319,R,154,R,165,R,1056,R,481,R,575,R,11,R,7,R,4,R,4057,R,2110,R,1947,R,480,R,215,R,265,R,560,R,338,R,222,R,3434,R,2107,R,1327,,,,,,,,,,,,,
2019,110635,19,99,3,1,R,2572,R,1194,R,1378,R,6,R,3,R,3,R,677,R,302,R,375,R,71,R,39,R,32,R,545,R,234,R,311,R,8,R,6,R,2,R,644,R,301,R,343,R,178,R,80,R,98,R,52,R,26,R,26,R,391,R,203,R,188,,,,,,,,,,,,,
2019,110635,20,99,3,1,R,22319,R,10340,R,11979,R,20,R,7,R,13,R,7939,R,3828,R,4111,R,426,R,156,R,270,R,3493,R,1335,R,2158,R,33,R,12,R,21,R,5496,R,2593,R,2903,R,1291,R,565,R,726,R,876,R,424,R,452,R,2745,R,1420,R,1325,,,,,,,,,,,,,
2019,110635,21,14,1,4,R,39950,R,18994,R,20956,R,58,R,24,R,34,R,12177,R,5819,R,6358,R,827,R,339,R,488,R,5632,R,2226,R,3406,R,61,R,27,R,34,R,10603,R,5022,R,5581,R,2197,R,944,R,1253,R,1536,R,796,R,740,R,6859,R,3797,R,3062,,,,,,,,,,,,,
2019,110635,22, 8,1,1,R,29991,R,13825,R,16166,R,29,R,12,R,17,R,10800,R,5206,R,5594,R,545,R,210,R,335,R,4687,R,1800,R,2887,R,51,R,21,R,30,R,7129,R,3284,R,3845,R,1758,R,750,R,1008,R,1096,R,537,R,559,R,3896,R,2005,R,1891,,,,,,,,,,,,,
2019,110635,23, 6,1,1,R,29988,R,13824,R,16164,R,29,R,12,R,17,R,10799,R,5205,R,5594,R,544,R,210,R,334,R,4687,R,1800,R,2887,R,51,R,21,R,30,R,7128,R,3284,R,3844,R,1758,R,750,R,1008,R,1096,R,537,R,559,R,3896,R,2005,R,1891,,,,,,,,,,,,,
2019,110635,24, 1,1,1,R,6422,R,2887,R,3535,R,7,R,3,R,4,R,2513,R,1232,R,1281,R,102,R,34,R,68,R,997,R,347,R,650,R,12,R,4,R,8,R,1359,R,584,R,775,R,365,R,144,R,221,R,219,R,110,R,109,R,848,R,429,R,419,,,,,,,,,,,,,
2019,110635,25,99,1,1,R,23566,R,10937,R,12629,R,22,R,9,R,13,R,8286,R,3973,R,4313,R,442,R,176,R,266,R,3690,R,1453,R,2237,R,39,R,17,R,22,R,5769,R,2700,R,3069,R,1393,R,606,R,787,R,877,R,427,R,450,R,3048,R,1576,R,1472,,,,,,,,,,,,,
2019,110635,31, 7,1,1,R,3,R,1,R,2,R,0,R,0,R,0,R,1,R,1,R,0,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,,,,,,,,,,,,,
2019,110635,32,11,1,3,R,9959,R,5169,R,4790,R,29,R,12,R,17,R,1377,R,613,R,764,R,282,R,129,R,153,R,945,R,426,R,519,R,10,R,6,R,4,R,3474,R,1738,R,1736,R,439,R,194,R,245,R,440,R,259,R,181,R,2963,R,1792,R,1171,,,,,,,,,,,,,
2019,110635,39, 2,1,1,R,2452,R,1146,R,1306,R,6,R,3,R,3,R,664,R,296,R,368,R,58,R,31,R,27,R,501,R,223,R,278,R,8,R,6,R,2,R,609,R,282,R,327,R,169,R,76,R,93,R,49,R,26,R,23,R,388,R,203,R,185,,,,,,,,,,,,,
2019,110635,40, 3,1,1,R,21114,R,9791,R,11323,R,16,R,6,R,10,R,7622,R,3677,R,3945,R,384,R,145,R,239,R,3189,R,1230,R,1959,R,31,R,11,R,20,R,5160,R,2418,R,2742,R,1224,R,530,R,694,R,828,R,401,R,427,R,2660,R,1373,R,1287,,,,,,,,,,,,,
2019,110635,41,28,2,4,R,3235,R,1797,R,1438,R,8,R,3,R,5,R,849,R,480,R,369,R,93,R,44,R,49,R,467,R,173,R,294,R,3,R,2,R,1,R,966,R,571,R,395,R,119,R,60,R,59,R,171,R,102,R,69,R,559,R,362,R,197,,,,,,,,,,,,,
2019,110635,42,22,2,1,R,1357,R,606,R,751,R,5,R,1,R,4,R,338,R,159,R,179,R,56,R,19,R,37,R,356,R,118,R,238,R,2,R,1,R,1,R,383,R,199,R,184,R,78,R,39,R,39,R,51,R,23,R,28,R,88,R,47,R,41,,,,,,,,,,,,,
2019,110635,43,20,2,1,R,1357,R,606,R,751,R,5,R,1,R,4,R,338,R,159,R,179,R,56,R,19,R,37,R,356,R,118,R,238,R,2,R,1,R,1,R,383,R,199,R,184,R,78,R,39,R,39,R,51,R,23,R,28,R,88,R,47,R,41,,,,,,,,,,,,,
2019,110635,44,15,2,1,R,32,R,9,R,23,R,1,R,0,R,1,R,8,R,2,R,6,R,1,R,0,R,1,R,8,R,2,R,6,R,0,R,0,R,0,R,12,R,5,R,7,R,2,R,0,R,2,R,0,R,0,R,0,R,0,R,0,R,0,,,,,,,,,,,,,
2019,110635,45,99,2,1,R,1325,R,597,R,728,R,4,R,1,R,3,R,330,R,157,R,173,R,55,R,19,R,36,R,348,R,116,R,232,R,2,R,1,R,1,R,371,R,194,R,177,R,76,R,39,R,37,R,51,R,23,R,28,R,88,R,47,R,41,,,,,,,,,,,,,
2019,110635,52,25,2,3,R,1878,R,1191,R,687,R,3,R,2,R,1,R,511,R,321,R,190,R,37,R,25,R,12,R,111,R,55,R,56,R,1,R,1,R,0,R,583,R,372,R,211,R,41,R,21,R,20,R,120,R,79,R,41,R,471,R,315,R,156,,,,,,,,,,,,,
2019,110635,59,16,2,1,R,120,R,48,R,72,R,0,R,0,R,0,R,13,R,6,R,7,R,13,R,8,R,5,R,44,R,11,R,33,R,0,R,0,R,0,R,35,R,19,R,16,R,9,R,4,R,5,R,3,R,0,R,3,R,3,R,0,R,3,,,,,,,,,,,,,
2019,110635,60,17,2,1,R,1205,R,549,R,656,R,4,R,1,R,3,R,317,R,151,R,166,R,42,R,11,R,31,R,304,R,105,R,199,R,2,R,1,R,1,R,336,R,175,R,161,R,67,R,35,R,32,R,48,R,23,R,25,R,85,R,47,R,38,,,,,,,,,,,,,
2019,110644, 1,29,3,4,R,38634,R,15546,R,23088,R,66,R,21,R,45,R,9653,R,3812,R,5841,R,845,R,279,R,566,R,8101,R,2602,R,5499,R,130,R,58,R,72,R,10152,R,4032,R,6120,R,2112,R,823,R,1289,R,545,R,213,R,332,R,7030,R,3706,R,3324,,,,,,,,,,,,,
2019,110644, 2,99,3,1,R,30982,R,12170,R,18812,R,47,R,16,R,31,R,8561,R,3364,R,5197,R,661,R,229,R,432,R,7182,R,2271,R,4911,R,117,R,53,R,64,R,7131,R,2793,R,4338,R,1706,R,645,R,1061,R,388,R,140,R,248,R,5189,R,2659,R,2530,,,,,,,,,,,,,
2019,110644, 3,99,3,1,R,30962,R,12162,R,18800,R,47,R,16,R,31,R,8557,R,3362,R,5195,R,656,R,228,R,428,R,7174,R,2267,R,4907,R,117,R,53,R,64,R,7131,R,2793,R,4338,R,1706,R,645,R,1061,R,388,R,140,R,248,R,5186,R,2658,R,2528,,,,,,,,,,,,,
2019,110644, 4,99,3,1,R,5957,R,2129,R,3828,R,8,R,2,R,6,R,1849,R,670,R,1179,R,111,R,31,R,80,R,1428,R,405,R,1023,R,29,R,13,R,16,R,1251,R,430,R,821,R,334,R,118,R,216,R,76,R,21,R,55,R,871,R,439,R,432,,,,,,,,,,,,,
