year,UNITID,EFCIPLEV,CIPCODE,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW 
2020,217882,259,14.0000,16,2,59,R,7,R,6,R,1,R,0,R,0,R,0,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,6,R,5,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
2020,217882,260,14.0000,17,2,60,R,140,R,120,R,20,R,0,R,0,R,0,R,8,R,7,R,1,R,8,R,7,R,1,R,13,R,12,R,1,R,0,R,0,R,0,R,102,R,86,R,16,R,4,R,4,R,0,R,1,R,1,R,0,R,4,R,3,R,1
2020,217882,301,26.0000,29,3, 1,R,2559,R,800,R,1759,R,6,R,0,R,6,R,100,R,43,R,57,R,167,R,34,R,133,R,163,R,46,R,117,R,2,R,0,R,2,R,1946,R,606,R,1340,R,116,R,40,R,76,R,13,R,5,R,8,R,46,R,26,R,20
2020,217882,302,26.0000,99,3, 2,R,2174,R,674,R,1500,R,4,R,0,R,4,R,94,R,40,R,54,R,150,R,29,R,121,R,146,R,41,R,105,R,1,R,0,R,1,R,1669,R,525,R,1144,R,102,R,36,R,66,R,4,R,1,R,3,R,4,R,2,R,2
2020,217882,303,26.0000,99,3, 3,R,2174,R,674,R,1500,R,4,R,0,R,4,R,94,R,40,R,54,R,150,R,29,R,121,R,146,R,41,R,105,R,1,R,0,R,1,R,1669,R,525,R,1144,R,102,R,36,R,66,R,4,R,1,R,3,R,4,R,2,R,2
2020,217882,304,26.0000,99,3, 4,R,560,R,148,R,412,R,0,R,0,R,0,R,22,R,8,R,14,R,30,R,5,R,25,R,38,R,7,R,31,R,0,R,0,R,0,R,443,R,121,R,322,R,23,R,6,R,17,R,3,R,1,R,2,R,1,R,0,R,1
2020,217882,305,26.0000,99,3, 5,R,1614,R,526,R,1088,R,4,R,0,R,4,R,72,R,32,R,40,R,120,R,24,R,96,R,108,R,34,R,74,R,1,R,0,R,1,R,1226,R,404,R,822,R,79,R,30,R,49,R,1,R,0,R,1,R,3,R,2,R,1
2020,217882,312,26.0000,99,3,12,R,385,R,126,R,259,R,2,R,0,R,2,R,6,R,3,R,3,R,17,R,5,R,12,R,17,R,5,R,12,R,1,R,0,R,1,R,277,R,81,R,196,R,14,R,4,R,10,R,9,R,4,R,5,R,42,R,24,R,18
2020,217882,319,26.0000,99,3,19,R,136,R,38,R,98,R,2,R,0,R,2,R,4,R,2,R,2,R,12,R,4,R,8,R,7,R,3,R,4,R,0,R,0,R,0,R,103,R,26,R,77,R,7,R,3,R,4,R,1,R,0,R,1,R,0,R,0,R,0
2020,217882,320,26.0000,99,3,20,R,1478,R,488,R,990,R,2,R,0,R,2,R,68,R,30,R,38,R,108,R,20,R,88,R,101,R,31,R,70,R,1,R,0,R,1,R,1123,R,378,R,745,R,72,R,27,R,45,R,0,R,0,R,0,R,3,R,2,R,1
2020,217882,321,26.0000,14,1,21,R,2290,R,714,R,1576,R,4,R,0,R,4,R,93,R,40,R,53,R,152,R,28,R,124,R,154,R,44,R,110,R,2,R,0,R,2,R,1728,R,539,R,1189,R,108,R,36,R,72,R,5,R,1,R,4,R,44,R,26,R,18
2020,217882,322,26.0000, 8,1,22,R,2140,R,654,R,1486,R,4,R,0,R,4,R,92,R,40,R,52,R,147,R,27,R,120,R,146,R,41,R,105,R,1,R,0,R,1,R,1641,R,508,R,1133,R,101,R,35,R,66,R,4,R,1,R,3,R,4,R,2,R,2
2020,217882,323,26.0000, 6,1,23,R,2140,R,654,R,1486,R,4,R,0,R,4,R,92,R,40,R,52,R,147,R,27,R,120,R,146,R,41,R,105,R,1,R,0,R,1,R,1641,R,508,R,1133,R,101,R,35,R,66,R,4,R,1,R,3,R,4,R,2,R,2
2020,217882,324,26.0000, 1,1,24,R,559,R,148,R,411,R,0,R,0,R,0,R,21,R,8,R,13,R,30,R,5,R,25,R,38,R,7,R,31,R,0,R,0,R,0,R,443,R,121,R,322,R,23,R,6,R,17,R,3,R,1,R,2,R,1,R,0,R,1
2020,217882,325,26.0000,99,1,25,R,1581,R,506,R,1075,R,4,R,0,R,4,R,71,R,32,R,39,R,117,R,22,R,95,R,108,R,34,R,74,R,1,R,0,R,1,R,1198,R,387,R,811,R,78,R,29,R,49,R,1,R,0,R,1,R,3,R,2,R,1
2020,217882,332,26.0000,11,1,32,R,150,R,60,R,90,R,0,R,0,R,0,R,1,R,0,R,1,R,5,R,1,R,4,R,8,R,3,R,5,R,1,R,0,R,1,R,87,R,31,R,56,R,7,R,1,R,6,R,1,R,0,R,1,R,40,R,24,R,16
2020,217882,339,26.0000, 2,1,39,R,131,R,35,R,96,R,2,R,0,R,2,R,4,R,2,R,2,R,12,R,4,R,8,R,7,R,3,R,4,R,0,R,0,R,0,R,99,R,24,R,75,R,6,R,2,R,4,R,1,R,0,R,1,R,0,R,0,R,0
2020,217882,340,26.0000, 3,1,40,R,1450,R,471,R,979,R,2,R,0,R,2,R,67,R,30,R,37,R,105,R,18,R,87,R,101,R,31,R,70,R,1,R,0,R,1,R,1099,R,363,R,736,R,72,R,27,R,45,R,0,R,0,R,0,R,3,R,2,R,1
2020,217882,341,26.0000,28,2,41,R,269,R,86,R,183,R,2,R,0,R,2,R,7,R,3,R,4,R,15,R,6,R,9,R,9,R,2,R,7,R,0,R,0,R,0,R,218,R,67,R,151,R,8,R,4,R,4,R,8,R,4,R,4,R,2,R,0,R,2
2020,217882,342,26.0000,22,2,42,R,34,R,20,R,14,R,0,R,0,R,0,R,2,R,0,R,2,R,3,R,2,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,28,R,17,R,11,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0
2020,217882,343,26.0000,20,2,43,R,34,R,20,R,14,R,0,R,0,R,0,R,2,R,0,R,2,R,3,R,2,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,28,R,17,R,11,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0
2020,217882,344,26.0000,15,2,44,R,1,R,0,R,1,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
2020,217882,345,26.0000,99,2,45,R,33,R,20,R,13,R,0,R,0,R,0,R,1,R,0,R,1,R,3,R,2,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,28,R,17,R,11,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0
2020,217882,352,26.0000,25,2,52,R,235,R,66,R,169,R,2,R,0,R,2,R,5,R,3,R,2,R,12,R,4,R,8,R,9,R,2,R,7,R,0,R,0,R,0,R,190,R,50,R,140,R,7,R,3,R,4,R,8,R,4,R,4,R,2,R,0,R,2
2020,217882,359,26.0000,16,2,59,R,5,R,3,R,2,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,4,R,2,R,2,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0
2020,217882,360,26.0000,17,2,60,R,28,R,17,R,11,R,0,R,0,R,0,R,1,R,0,R,1,R,3,R,2,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,24,R,15,R,9,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
