year,UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
2023,201645,R,1541,R,1661,R,93,R,1553,R,2,Z,0,R,1551,R,1427,R,92,A,,A,,A,,A,,A,,A,,R,9
2023,204796,R,8034,R,11900,R,68,R,8025,R,0,R,0,R,8025,R,7553,R,94,R,31,R,0,R,0,R,31,R,12,R,39,R,18
2023,211440,R,1708,R,1815,R,94,R,1716,R,10,R,0,R,1706,R,1655,R,97,R,0,R,0,R,0,R,0,R,0,A,,R,5
2023,212054,R,2850,R,3530,R,81,R,2914,R,0,R,0,R,2914,R,2610,R,90,R,24,R,0,R,0,R,24,R,14,R,58,R,9
2023,213543,R,1531,R,1584,R,97,R,1508,R,0,R,0,R,1508,R,1398,R,93,A,,A,,A,,A,,A,,A,,R,10
2023,214777,R,9004,R,9500,R,95,R,9193,R,0,R,0,R,9193,R,8453,R,92,R,36,R,0,R,0,R,36,R,26,R,72,R,15
2023,215062,R,2415,R,3118,R,77,R,2415,R,0,R,0,R,2415,R,2369,R,98,A,,A,,A,,A,,A,,A,,R,8
2023,215293,R,4547,R,10329,R,44,R,4386,R,3,R,0,R,4383,R,4050,R,92,R,4,R,0,R,0,R,4,R,3,R,75,R,13
2023,216597,R,1701,R,1844,R,92,R,1762,R,0,R,0,R,1762,R,1674,R,95,R,14,Z,0,Z,0,R,14,R,13,R,93,R,10
2023,217156,R,1695,R,2246,R,75,R,1716,R,3,R,0,R,1713,R,1690,R,99,A,,A,,A,,A,,A,,A,,R,6
2023,217882,R,4489,R,6053,R,74,R,4575,R,0,R,0,R,4575,R,4247,R,93,R,13,R,0,R,0,R,13,R,9,R,69,R,16
2023,217925,R,115,R,369,R,31,R,158,R,0,R,0,R,158,R,104,R,66,R,10,R,0,R,0,R,10,R,1,R,10,R,13
2023,221999,R,1619,R,1910,R,85,R,1617,R,1,R,0,R,1616,R,1558,R,96,R,2,R,0,Z,0,R,2,R,2,R,100,R,7
2023,223232,R,3315,R,3660,R,91,R,3286,R,1,R,0,R,3285,R,2977,R,91,R,10,R,0,R,0,R,10,R,8,R,80,R,15
2023,227757,R,1121,R,1173,R,96,R,1201,R,5,R,0,R,1196,R,1167,R,98,A,,A,,A,,A,,A,,A,,R,6
2023,228246,R,1592,R,1881,R,85,R,1636,R,0,R,0,R,1636,R,1466,R,90,R,3,R,0,R,0,R,3,R,1,R,33,R,11
2023,228723,R,12055,R,17090,R,71,R,11382,Z,0,Z,0,R,11382,R,10728,R,94,R,1108,Z,0,Z,0,R,1108,R,1030,R,93,R,19
2023,228778,R,9230,R,11492,R,80,R,8979,R,0,R,0,R,8979,R,8631,R,96,R,130,R,0,R,0,R,130,R,112,R,86,R,18
2023,228875,R,2483,R,2934,R,85,R,2484,R,1,R,0,R,2483,R,2341,R,94,R,7,R,0,R,0,R,7,R,6,R,86,R,14
2023,231624,R,1619,R,1786,R,91,R,1642,R,2,R,0,R,1640,R,1552,R,95,R,0,R,0,R,0,R,0,R,0,A,,R,13
2023,234076,R,3966,R,4962,R,80,R,4019,R,1,R,0,R,4018,R,3911,R,97,R,0,R,0,R,0,R,0,R,0,A,,R,15
2023,236948,R,6928,R,10304,R,67,R,7311,R,0,R,0,R,7311,R,6938,R,95,R,75,R,0,R,0,R,75,R,62,R,83,R,20
2023,239105,R,1882,R,2328,R,81,R,1977,R,0,Z,0,R,1977,R,1806,R,91,R,6,R,0,Z,0,R,6,R,4,R,67,R,13
2023,240444,R,7937,R,9988,R,79,R,8605,Z,0,Z,0,R,8605,R,8134,R,95,R,23,Z,0,Z,0,R,23,R,21,R,91,R,18
2023,243744,R,1699,R,1968,R,86,R,1733,R,0,Z,0,R,1733,R,1695,R,98,A,,A,,A,,A,,A,,A,,R,6
2023,243780,R,9295,R,10560,R,88,R,9360,R,1,Z,0,R,9359,R,8613,R,92,R,26,R,0,Z,0,R,26,R,18,R,69,R,14
2023,445188,R,2400,R,2628,R,91,R,2371,R,0,R,0,R,2371,R,1970,R,83,R,22,R,0,R,0,R,22,R,9,R,41,R,21
2022,100858,R,5282,R,6858,R,77,R,5254,R,5,R,0,R,5249,R,4830,R,92,R,57,R,1,R,0,R,56,R,41,R,73,R,20
2022,110404,R,224,R,232,R,97,R,270,R,1,Z,0,R,269,R,264,R,98,A,,A,,A,,A,,A,,A,,R,3
2022,110635,R,6680,R,9435,R,71,R,6892,R,0,R,0,R,6892,R,6608,R,96,R,39,R,0,R,0,R,39,R,33,R,85,R,19
2022,110644,R,6292,R,9194,R,68,R,7382,R,0,R,0,R,7382,R,6784,R,92,R,100,R,0,R,0,R,100,R,75,R,75,R,21
2022,110653,R,5656,R,8259,R,68,R,6473,R,0,R,0,R,6473,R,5908,R,91,R,16,R,0,R,0,R,16,R,12,R,75,R,18
2022,110662,R,6450,R,10149,R,64,R,6567,R,0,R,0,R,6567,R,6341,R,97,R,17,R,0,R,0,R,17,R,9,R,53,R,18
2022,110671,R,5522,R,7097,R,78,R,5154,R,0,R,0,R,5154,R,4502,R,87,R,50,R,0,R,0,R,50,R,17,R,34,R,24
2022,110680,R,6530,R,9618,R,68,R,7506,R,0,R,0,R,7506,R,7010,R,93,R,36,R,0,R,0,R,36,R,28,R,78,R,19
2022,110705,R,4944,R,7102,R,70,R,4884,R,0,R,0,R,4884,R,4511,R,92,R,14,R,0,R,0,R,14,R,8,R,57,R,17
2022,110714,R,3834,R,5086,R,75,R,4155,R,0,R,0,R,4155,R,3655,R,88,R,33,R,0,R,0,R,33,R,17,R,52,R,23
2022,121150,R,940,R,1027,R,92,R,1023,R,0,R,0,R,1023,R,904,R,88,R,1,R,0,R,0,R,1,R,0,R,0,R,13
2022,122931,R,1638,R,1849,R,89,R,1553,R,0,R,0,R,1553,R,1427,R,92,R,1,R,0,R,0,R,1,R,1,R,100,R,12
2022,123961,R,3418,R,4888,R,70,R,3662,R,10,Z,0,R,3652,R,3526,R,97,R,3,R,0,Z,0,R,3,R,1,R,33,R,9
2022,126614,R,7027,R,8702,R,81,R,6648,R,3,R,0,R,6645,R,5833,R,88,R,79,R,5,R,0,R,74,R,45,R,61,R,18
2022,126775,R,1510,R,1696,R,89,R,1380,R,0,R,0,R,1380,R,1292,R,94,R,1,R,0,R,0,R,1,R,1,R,100,R,17
2022,129020,R,4061,R,4887,R,83,R,3617,R,4,Z,0,R,3613,R,3286,R,91,R,13,Z,0,Z,0,R,13,R,9,R,69,R,16
2022,130794,R,1554,R,1584,R,98,R,1786,Z,0,Z,0,R,1786,R,1752,R,98,A,,A,,A,,A,,A,,A,,R,6
2022,130943,R,4894,R,5293,R,92,R,4263,R,9,R,0,R,4254,R,3868,R,91,R,13,Z,0,Z,0,R,13,R,8,R,62,R,15
2022,131159,R,1752,R,1940,R,90,R,2364,Z,0,Z,0,R,2364,R,2039,R,86,R,7,Z,0,Z,0,R,7,R,4,R,57,R,11
2022,131469,R,2930,R,3462,R,85,R,2563,R,4,Z,0,R,2559,R,2292,R,90,R,8,Z,0,Z,0,R,8,R,6,R,75,R,12
2022,131496,R,1573,R,2125,R,74,R,1581,R,0,R,0,R,1581,R,1527,R,97,R,4,R,0,R,0,R,4,R,4,R,100,R,11
2022,131520,R,2489,R,3203,R,78,R,2763,R,0,R,0,R,2763,R,2436,R,88,R,5,R,0,R,0,R,5,R,2,R,40,R,14
2022,133951,R,2979,R,13560,R,22,R,2872,Z,0,Z,0,R,2872,R,2601,R,91,R,1189,Z,0,Z,0,R,1189,R,1023,R,86,R,24
2022,134097,R,5922,R,8084,R,73,R,7465,R,2,R,0,R,7463,R,7010,R,94,R,152,R,0,R,0,R,152,R,124,R,82,R,17
2022,134130,R,6594,R,8679,R,76,R,6760,Z,0,Z,0,R,6760,R,6528,R,97,R,27,Z,0,Z,0,R,27,R,26,R,96,R,16
2022,135726,R,2370,R,3202,R,74,R,2759,R,1,R,0,R,2758,R,2540,R,92,R,7,R,0,R,0,R,7,R,6,R,86,R,13
2022,137351,R,6655,R,11108,R,60,R,6096,R,0,R,0,R,6096,R,5460,R,90,R,183,R,0,R,0,R,183,R,120,R,66,R,22
2022,139658,R,1424,R,2070,R,69,R,1494,R,12,R,0,R,1482,R,1411,R,95,R,0,R,0,R,0,R,0,R,0,A,,R,9
2022,139755,R,3630,R,5513,R,66,R,3460,R,0,R,0,R,3460,R,3386,R,98,R,11,R,0,R,0,R,11,R,11,R,100,R,19
2022,139959,R,6250,R,8217,R,76,R,5785,R,0,R,0,R,5785,R,5455,R,94,R,34,R,0,R,0,R,34,R,31,R,91,R,17
2022,144050,R,1729,R,1870,R,92,R,2053,R,4,R,0,R,2049,R,2028,R,99,A,,A,,A,,A,,A,,A,,R,5
2022,145600,R,4179,R,6534,R,64,R,4024,R,1,R,0,R,4023,R,3151,R,78,R,153,R,0,R,0,R,153,R,67,R,44,R,18
2022,145637,R,7946,R,10044,R,79,R,8273,R,0,R,0,R,8273,R,7720,R,93,R,24,R,0,R,0,R,24,R,20,R,83,R,21
2022,147767,R,2038,R,2350,R,87,R,2086,R,5,R,0,R,2081,R,2035,R,98,A,,A,,A,,A,,A,,A,,R,6
2022,151351,R,9709,R,10572,R,92,R,9450,R,1,R,0,R,9449,R,8491,R,90,R,32,R,0,R,0,R,32,R,23,R,72,R,17
2022,152080,R,2037,R,2226,R,92,R,2059,R,0,R,0,R,2059,R,2005,R,97,A,,A,,A,,A,,A,,A,,R,9
2022,160472,A,,A,,A,,R,76,R,0,R,0,R,76,R,69,R,91,R,42,R,0,R,0,R,42,R,38,R,90,R,10
2022,160755,R,1843,R,2133,R,86,R,2027,R,1,R,0,R,2026,R,1887,R,93,A,,A,,A,,A,,A,,A,,R,8
2022,162928,R,1406,R,1582,R,89,R,1420,R,10,R,0,R,1410,R,1367,R,97,A,,A,,A,,A,,A,,A,,R,6
2022,163286,R,5809,R,7848,R,74,R,6006,R,1,R,0,R,6005,R,5693,R,95,R,28,R,0,R,0,R,28,R,24,R,86,R,18
2022,164924,R,2335,R,2654,R,88,R,2516,R,0,R,0,R,2516,R,2388,R,95,A,,A,,A,,A,,A,,A,,R,12
