year,UNITID,SISCAT,FACSTAT,ARANK,XHRTOTLT,HRTOTLT,XHRTOTLM,HRTOTLM,XHRTOTLW,HRTOTLW,XHRAIANT,HRAIANT,XHRAIANM,HRAIANM,XHRAIANW,HRAIANW,XHRASIAT,HRASIAT,XHRASIAM,HRASIAM,XHRASIAW,HRASIAW,XHRBKAAT,HRBKAAT,XHRBKAAM,HRBKAAM,XHRBKAAW,HRBKAAW,XHRHISPT,HRHISPT,XHRHISPM,HRHISPM,XHRHISPW,HRHISPW,XHRNHPIT,HRNHPIT,XHRNHPIM,HRNHPIM,XHRNHPIW,HRNHPIW,XHRWHITT,HRWHITT,XHRWHITM,HRWHITM,XHRWHITW,HRWHITW,XHR2MORT,HR2MORT,XHR2MORM,HR2MORM,XHR2MORW,HR2MORW,XHRUNKNT,HRUNKNT,XHRUNKNM,HRUNKNM,XHRUNKNW,HRUNKNW,XHRNRALT,HRNRALT,XHRNRALM,HRNRALM,XHRNRALW,HRNRALW 
2022,139755,  1, 0,0,R,1084,R,772,R,312,Z,0,Z,0,Z,0,R,258,R,185,R,73,R,41,R,28,R,13,R,36,R,28,R,8,R,2,R,1,R,1,R,656,R,470,R,186,R,8,R,7,R,1,R,16,R,11,R,5,R,67,R,42,R,25
2022,139755,100,10,0,R,956,R,682,R,274,Z,0,Z,0,Z,0,R,247,R,178,R,69,R,32,R,20,R,12,R,35,R,27,R,8,R,2,R,1,R,1,R,560,R,403,R,157,R,5,R,4,R,1,R,15,R,11,R,4,R,60,R,38,R,22
2022,139755,101,10,1,R,431,R,347,R,84,Z,0,Z,0,Z,0,R,124,R,106,R,18,R,8,R,6,R,2,R,12,R,10,R,2,Z,0,Z,0,Z,0,R,279,R,218,R,61,R,1,R,1,Z,0,R,4,R,3,R,1,R,3,R,3,Z,0
2022,139755,102,10,2,R,239,R,168,R,71,Z,0,Z,0,Z,0,R,64,R,41,R,23,R,11,R,7,R,4,R,9,R,6,R,3,R,1,R,1,Z,0,R,145,R,106,R,39,R,2,R,1,R,1,R,6,R,5,R,1,R,1,R,1,Z,0
2022,139755,103,10,3,R,185,R,111,R,74,Z,0,Z,0,Z,0,R,42,R,23,R,19,R,6,R,2,R,4,R,10,R,8,R,2,R,1,Z,0,R,1,R,76,R,48,R,28,Z,0,Z,0,Z,0,R,3,R,1,R,2,R,47,R,29,R,18
2022,139755,105,10,5,R,92,R,51,R,41,Z,0,Z,0,Z,0,R,17,R,8,R,9,R,7,R,5,R,2,R,4,R,3,R,1,Z,0,Z,0,Z,0,R,53,R,28,R,25,R,2,R,2,Z,0,R,2,R,2,Z,0,R,7,R,3,R,4
2022,139755,106,10,6,R,9,R,5,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,7,R,3,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,2,R,2,Z,0
2022,139755,200,20,0,R,660,R,506,R,154,R,0,R,0,R,0,R,184,R,144,R,40,R,19,R,13,R,6,R,21,R,16,R,5,R,0,R,0,R,0,R,419,R,319,R,100,R,3,R,2,R,1,R,10,R,8,R,2,R,4,R,4,R,0
2022,139755,201,20,1,R,426,R,342,R,84,R,0,R,0,R,0,R,123,R,105,R,18,R,8,R,6,R,2,R,12,R,10,R,2,R,0,R,0,R,0,R,275,R,214,R,61,R,1,R,1,R,0,R,4,R,3,R,1,R,3,R,3,R,0
2022,139755,202,20,2,R,233,R,163,R,70,R,0,R,0,R,0,R,61,R,39,R,22,R,11,R,7,R,4,R,9,R,6,R,3,R,0,R,0,R,0,R,143,R,104,R,39,R,2,R,1,R,1,R,6,R,5,R,1,R,1,R,1,R,0
