year,UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
20,185828,R,935,R,4,R,931,R,272,R,29,R,607,R,65,R,0,R,931,R,41,R,12,R,648,R,70,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,186131,R,1357,R,2,R,1355,R,1184,R,87,R,1306,R,96,R,0,R,1355,R,10,R,3,R,1316,R,97,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,186371,R,481,R,0,R,481,R,150,R,31,R,279,R,58,R,0,R,481,R,16,R,5,R,295,R,61,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,186380,R,5916,R,6,R,5910,R,3625,R,61,R,4751,R,80,R,1,R,5909,R,105,R,42,R,4856,R,82,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,186399,R,1050,R,2,R,1048,R,356,R,34,R,673,R,64,R,0,R,1048,R,41,R,8,R,714,R,68,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,186867,R,614,R,0,R,614,R,274,R,45,R,537,R,87,R,0,R,614,R,3,R,1,R,540,R,88,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,190415,R,3217,R,3,R,3214,R,2841,R,88,R,3038,R,95,R,0,R,3214,R,24,R,3,R,3062,R,95,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,191241,R,1855,R,2,R,1853,R,1463,R,79,R,1544,R,83,R,0,R,1853,R,10,R,0,R,1554,R,84,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,193900,R,5536,R,7,R,5529,R,4229,R,76,R,4713,R,85,R,0,R,5529,R,51,R,6,R,4764,R,86,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,194824,R,1326,R,0,R,1326,R,816,R,62,R,1143,R,86,R,0,R,1326,R,10,R,2,R,1153,R,87,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,195003,R,2500,R,5,R,2495,R,696,R,28,R,1749,R,70,R,2,R,2493,R,39,R,7,R,1788,R,72,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,195030,R,1343,R,2,R,1341,R,1044,R,78,R,1155,R,86,R,2,R,1339,R,14,R,5,R,1169,R,87,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20,196079,R,2568,R,0,R,2568,R,1856,R,72,R,2091,R,81,R,0,R,2568,R,6,R,7,R,2097,R,82,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
