year,UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW ,CSNRALW,XCSGUUGU,CSGUUGUN,XCSGUUGA,CSGUUGAG,XCSGUUGT,CSGUUGTT,XCSGUGUN,CSGUGUN,XCSGUGAG,CSGUGAG,XCSGUGTT,CSGUGTOT,XCSGUTTUN,CSGUTOTUN,XCSGUTTAG,CSGUTOTAG,XCSGUTOT,CSGUTOT,XCSGUKN,CSGUKN    
2018,168148,R,3496,R,1481,R,2015,R,2,R,2,R,0,R,401,R,162,R,239,R,124,R,42,R,82,R,227,R,87,R,140,R,0,R,0,R,0,R,1952,R,838,R,1114,R,122,R,50,R,72,R,168,R,71,R,97,R,500,R,229,R,271,,,,,,,,,,,,,,,,,,,,,
2018,168421,R,1819,R,1197,R,622,R,2,R,2,R,0,R,78,R,57,R,21,R,41,R,27,R,14,R,121,R,79,R,42,R,1,R,1,R,0,R,946,R,634,R,312,R,44,R,23,R,21,R,50,R,31,R,19,R,536,R,343,R,193,,,,,,,,,,,,,,,,,,,,,
2018,170976,R,13327,R,6755,R,6572,R,26,R,14,R,12,R,1485,R,783,R,702,R,507,R,184,R,323,R,602,R,271,R,331,R,5,R,3,R,2,R,7240,R,3539,R,3701,R,374,R,170,R,204,R,591,R,326,R,265,R,2497,R,1465,R,1032,,,,,,,,,,,,,,,,,,,,,
2018,171100,R,12536,R,5896,R,6640,R,34,R,10,R,24,R,572,R,281,R,291,R,674,R,230,R,444,R,457,R,188,R,269,R,16,R,5,R,11,R,8495,R,3988,R,4507,R,296,R,127,R,169,R,169,R,88,R,81,R,1823,R,979,R,844,,,,,,,,,,,,,,,,,,,,,
2018,174066,R,12796,R,5945,R,6851,R,41,R,17,R,24,R,916,R,398,R,518,R,483,R,203,R,280,R,440,R,195,R,245,R,8,R,3,R,5,R,8352,R,3787,R,4565,R,382,R,175,R,207,R,261,R,104,R,157,R,1913,R,1063,R,850,,,,,,,,,,,,,,,,,,,,,
2018,179867,R,4547,R,2137,R,2410,R,15,R,5,R,10,R,538,R,254,R,284,R,247,R,69,R,178,R,219,R,107,R,112,R,2,R,1,R,1,R,2140,R,1021,R,1119,R,113,R,54,R,59,R,154,R,72,R,82,R,1119,R,554,R,565,,,,,,,,,,,,,,,,,,,,,
2018,182670,R,1969,R,1004,R,965,R,29,R,10,R,19,R,237,R,109,R,128,R,117,R,60,R,57,R,142,R,80,R,62,R,3,R,2,R,1,R,962,R,480,R,482,R,64,R,33,R,31,R,92,R,55,R,37,R,323,R,175,R,148,,,,,,,,,,,,,,,,,,,,,
2018,185828,R,2795,R,2118,R,677,R,1,R,1,R,0,R,516,R,366,R,150,R,205,R,163,R,42,R,382,R,305,R,77,R,1,R,1,R,0,R,729,R,590,R,139,R,49,R,42,R,7,R,176,R,131,R,45,R,736,R,519,R,217,,,,,,,,,,,,,,,,,,,,,
2018,186131,R,2248,R,1241,R,1007,R,3,R,2,R,1,R,346,R,171,R,175,R,142,R,61,R,81,R,165,R,90,R,75,R,3,R,3,R,0,R,923,R,506,R,417,R,69,R,34,R,35,R,63,R,36,R,27,R,534,R,338,R,196,,,,,,,,,,,,,,,,,,,,,
2018,186371,R,1839,R,796,R,1043,R,1,R,1,Z,0,R,157,R,73,R,84,R,274,R,79,R,195,R,211,R,72,R,139,R,3,R,1,R,2,R,1050,R,501,R,549,R,65,R,23,R,42,R,33,R,20,R,13,R,45,R,26,R,19,,,,,,,,,,,,,,,,,,,,,
2018,186380,R,12979,R,5780,R,7199,R,11,R,6,R,5,R,2746,R,1265,R,1481,R,1056,R,312,R,744,R,1469,R,593,R,876,R,25,R,15,R,10,R,5524,R,2540,R,2984,R,321,R,151,R,170,R,243,R,96,R,147,R,1584,R,802,R,782,,,,,,,,,,,,,,,,,,,,,
2018,186399,R,3112,R,1536,R,1576,R,2,R,2,Z,0,R,496,R,246,R,250,R,448,R,185,R,263,R,594,R,240,R,354,R,8,R,7,R,1,R,925,R,525,R,400,R,57,R,31,R,26,R,98,R,52,R,46,R,484,R,248,R,236,,,,,,,,,,,,,,,,,,,,,
2018,186867,R,2422,R,1708,R,714,R,2,R,1,R,1,R,161,R,103,R,58,R,36,R,20,R,16,R,64,R,48,R,16,R,0,R,0,R,0,R,757,R,540,R,217,Z,0,Z,0,Z,0,R,286,R,216,R,70,R,1116,R,780,R,336,,,,,,,,,,,,,,,,,,,,,
2018,190415,R,7135,R,3781,R,3354,R,15,R,8,R,7,R,1024,R,502,R,522,R,298,R,117,R,181,R,585,R,327,R,258,R,9,R,4,R,5,R,2641,R,1446,R,1195,R,215,R,109,R,106,R,432,R,239,R,193,R,1916,R,1029,R,887,,,,,,,,,,,,,,,,,,,,,
2018,191241,R,5014,R,1927,R,3087,R,7,R,2,R,5,R,338,R,144,R,194,R,347,R,96,R,251,R,594,R,215,R,379,R,7,R,3,R,4,R,2495,R,1015,R,1480,R,99,R,32,R,67,R,97,R,36,R,61,R,1030,R,384,R,646,,,,,,,,,,,,,,,,,,,,,
