year,UNITID,GRTYPE,CHRTSTAT,SECTION,COHORT,LINE,XGRTOTLT,GRTOTLT,XGRTOTLM,GRTOTLM,XGRTOTLW,GRTOTLW,XGRAIANT,GRAIANT,XGRAIANM,GRAIANM,XGRAIANW,GRAIANW,XGRASIAT,GRASIAT,XGRASIAM,GRASIAM,XGRASIAW,GRASIAW,XGRBKAAT,GRBKAAT,XGRBKAAM,GRBKAAM,XGRBKAAW,GRBKAAW,XGRHISPT,GRHISPT,XGRHISPM,GRHISPM,XGRHISPW,GRHISPW,XGRNHPIT,GRNHPIT,XGRNHPIM,GRNHPIM,XGRNHPIW,GRNHPIW,XGRWHITT,GRWHITT,XGRWHITM,GRWHITM,XGRWHITW,GRWHITW,XGR2MORT,GR2MORT,XGR2MORM,GR2MORM,XGR2MORW,GR2MORW,XGRUNKNT,GRUNKNT,XGRUNKNM,GRUNKNM,XGRUNKNW,GRUNKNW,XGRNRALT,GRNRALT,XGRNRALM,GRNRALM,XGRNRALW,GRNRALW 
2022,110653,41,31,1,1,999,R,35,R,18,R,17,Z,0,Z,0,Z,0,R,13,R,5,R,8,R,1,R,1,Z,0,R,11,R,4,R,7,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,3,R,2,R,1,Z,0,Z,0,Z,0,R,7,R,6,R,1
2022,110653,42,32,1,1,999,R,392,R,238,R,154,R,0,R,0,R,0,R,56,R,29,R,27,R,8,R,6,R,2,R,140,R,76,R,64,R,0,R,0,R,0,R,30,R,18,R,12,R,14,R,8,R,6,R,2,R,1,R,1,R,142,R,100,R,42
2022,110653,43,31,2,2,22 ,R,35,R,18,R,17,Z,0,Z,0,Z,0,R,13,R,5,R,8,R,1,R,1,Z,0,R,11,R,4,R,7,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,3,R,2,R,1,Z,0,Z,0,Z,0,R,7,R,6,R,1
2022,110653,44,32,2,2,23 ,R,392,R,238,R,154,R,0,R,0,R,0,R,56,R,29,R,27,R,8,R,6,R,2,R,140,R,76,R,64,R,0,R,0,R,0,R,30,R,18,R,12,R,14,R,8,R,6,R,2,R,1,R,1,R,142,R,100,R,42
2022,110662, 2,12,1,1,999,R,6527,R,2586,R,3941,R,21,R,6,R,15,R,1848,R,777,R,1071,R,221,R,70,R,151,R,1528,R,474,R,1054,R,20,R,11,R,9,R,1631,R,694,R,937,R,372,R,142,R,230,R,160,R,83,R,77,R,726,R,329,R,397
2022,110662, 3,13,1,1,999,R,6036,R,2352,R,3684,R,17,R,5,R,12,R,1764,R,728,R,1036,R,186,R,57,R,129,R,1372,R,421,R,951,R,16,R,8,R,8,R,1520,R,642,R,878,R,347,R,133,R,214,R,150,R,76,R,74,R,664,R,282,R,382
2022,110662, 4,20,1,1,999,R,226,R,94,R,132,R,3,R,1,R,2,R,41,R,20,R,21,R,16,R,6,R,10,R,64,R,22,R,42,R,1,R,1,R,0,R,79,R,34,R,45,R,13,R,4,R,9,R,7,R,5,R,2,R,2,R,1,R,1
2022,110662, 6,10,2,2,10 ,R,6535,R,2589,R,3946,R,21,R,6,R,15,R,1850,R,778,R,1072,R,221,R,70,R,151,R,1528,R,474,R,1054,R,20,R,11,R,9,R,1633,R,695,R,938,R,374,R,143,R,231,R,160,R,83,R,77,R,728,R,329,R,399
2022,110662, 7,11,2,2,45 ,R,8,R,3,R,5,R,0,R,0,R,0,R,2,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2,R,1,R,1,R,2,R,1,R,1,R,0,R,0,R,0,R,2,R,0,R,2
2022,110662, 8,12,2,2,50 ,R,6527,R,2586,R,3941,R,21,R,6,R,15,R,1848,R,777,R,1071,R,221,R,70,R,151,R,1528,R,474,R,1054,R,20,R,11,R,9,R,1631,R,694,R,937,R,372,R,142,R,230,R,160,R,83,R,77,R,726,R,329,R,397
